Time,Load Average,Heap,Non Heap
11:37:07.1205077,-0.25,9753,9265
11:37:09.1475052,-0.25,33528,29188
11:37:11.150203,-0.25,17550,38000
11:37:13.1523196,-0.25,23694,42261
11:37:15.1570534,-0.25,24718,42492
11:37:17.170279,-0.25,17387,44919
11:37:19.1847165,-0.25,17387,44924
11:37:21.1877199,-0.25,17387,44924
11:37:23.1938622,-0.25,17387,44946
11:37:25.2116102,-0.25,17387,44961
11:37:27.2235932,-0.25,17387,44977
11:37:29.2271908,-0.25,17387,44992
11:37:31.2352405,-0.25,18411,45146
11:37:33.2421275,-0.25,18411,45151
11:37:35.2502064,-0.25,18411,45340
11:37:37.2606111,-0.25,18411,45364
11:37:39.2649988,-0.25,18411,45371
11:37:41.2757795,-0.25,18411,45446
11:37:43.2818808,-0.25,18411,45502
11:37:45.291322,-0.25,19435,45571
11:37:47.3048374,-0.25,19435,45837
11:37:49.3149322,-0.25,20459,45958
11:37:51.32617,-0.25,20459,46174
11:37:53.3301837,-0.25,21483,46439
11:37:55.3316314,-0.25,21483,46610
11:37:57.3341485,-0.25,22507,46832
11:37:59.345215,-0.25,22507,47310
11:38:01.3595297,-0.25,23531,47569
11:38:03.3711394,-0.25,24555,47727
11:38:05.3744707,-0.25,25579,48119
11:38:07.3770565,-0.25,26603,48408
11:38:09.3962163,-0.25,26603,48570
11:38:11.4018791,-0.25,28651,48852
11:38:13.4058726,-0.25,29675,48931
11:38:15.4200895,-0.25,17181,49022
11:38:17.4244373,-0.25,20253,49208
11:38:19.4256332,-0.25,21277,49258
11:38:21.4276459,-0.25,23325,49436
11:38:23.4286465,-0.25,26397,49574
11:38:25.431675,-0.25,28445,49654
11:38:27.435764,-0.25,30493,49744
11:38:29.4367105,-0.25,17958,49862
11:38:31.4380785,-0.25,21030,45816
11:38:33.4392787,-0.25,24102,46015
11:38:35.4408102,-0.25,27174,46157
11:38:37.4417457,-0.25,30246,46271
11:38:39.4432503,-0.25,16973,46370
11:38:41.4443768,-0.25,22093,46510
11:38:43.4457085,-0.25,26189,46590
11:38:45.4476153,-0.25,30285,46609
11:38:47.4492276,-0.25,18042,46784
11:38:49.4505695,-0.25,22138,46934
11:38:51.452257,-0.25,26234,47181
11:38:53.4532242,-0.25,31354,47398
11:38:55.4556016,-0.25,20146,47487
11:38:57.4583628,-0.25,24242,47531
11:38:59.459311,-0.25,30386,47661
11:39:01.462106,-0.25,17077,47702
11:39:03.4642514,-0.25,23221,47740
11:39:05.4656758,-0.25,30389,47773
11:39:07.4669607,-0.25,36533,47784
11:39:09.4685597,-0.25,22203,47810
11:39:11.469616,-0.25,30395,47847
11:39:13.470399,-0.25,17142,47860
11:39:15.47208,-0.25,24310,47962
11:39:17.4731972,-0.25,32502,48166
11:39:19.4763284,-0.25,19198,48210
11:39:21.4771582,-0.25,28414,48259
11:39:23.4802132,-0.25,36606,48280
11:39:25.4815005,-0.25,24388,48343
11:39:27.4840102,-0.25,32580,48344
11:39:29.4877069,-0.25,20300,48533
11:39:31.4896723,-0.25,30540,48548
11:39:33.4931711,-0.25,17236,48557
11:39:35.4951328,-0.25,28500,48670
11:39:37.4972448,-0.25,37716,48707
11:39:39.4986934,-0.25,25432,48713
11:39:41.5005126,-0.25,35672,48742
11:39:43.5014368,-0.25,25506,48776
11:39:45.5041325,-0.25,36770,48798
11:39:47.5051702,-0.25,27626,48887
11:39:49.5071371,-0.25,37866,48936
11:39:51.5080739,-0.25,28594,48974
11:39:53.5096482,-0.25,18377,48993
11:39:55.5109546,-0.25,29641,49070
11:39:57.5139765,-0.25,19436,49070
11:39:59.5168511,-0.25,32748,49094
11:40:01.5190944,-0.25,22507,49107
11:40:03.5212523,-0.25,33771,49109
11:40:05.5231637,-0.25,25623,49156
11:40:07.5256656,-0.25,17424,49161
11:40:09.5267322,-0.25,29712,49191
11:40:11.5280733,-0.25,23604,49226
11:40:13.5303904,-0.25,36916,49226
11:40:15.5317695,-0.25,27707,49247
11:40:17.5342239,-0.25,20587,49329
11:40:19.5356552,-0.25,33899,49409
11:40:21.5370435,-0.25,25716,49469
11:40:23.5386958,-0.25,18620,49482
11:40:25.5403805,-0.25,32956,49525
11:40:27.5414439,-0.25,24749,49527
11:40:29.5427684,-0.25,18616,49596
11:40:31.5441495,-0.25,20518,50301
11:40:33.5462685,-0.25,20518,50301
11:40:35.548088,-0.25,20518,50306
11:40:37.5502815,-0.25,20518,50318
11:40:39.5528665,-0.25,20518,50326
11:40:41.5545174,-0.25,20518,50337
11:40:43.5560563,-0.25,20518,50340
11:40:45.5577333,-0.25,20518,50341
11:40:47.5607332,-0.25,20518,50347
11:40:49.5623221,-0.25,20518,50356
11:40:51.5638909,-0.25,20518,50358
11:40:53.566701,-0.25,20518,50359
11:40:55.5685168,-0.25,20518,50376
11:40:57.5697856,-0.25,20518,50382
11:40:59.5709774,-0.25,20518,50382
11:41:01.5726148,-0.25,20518,50382
11:41:03.5734918,-0.25,20518,50383
11:41:05.5744933,-0.25,20518,50386
11:41:07.5764848,-0.25,20518,50386
11:41:09.5817351,-0.25,20518,50388
11:41:11.5894606,-0.25,20518,50392
11:41:13.5903738,-0.25,20518,50393
11:41:15.592606,-0.25,20518,50393
11:41:17.593836,-0.25,21542,50396
11:41:19.5956107,-0.25,21542,50398
11:41:21.5978224,-0.25,21542,50398
11:41:23.5995753,-0.25,21542,50410
11:41:25.6018637,-0.25,21542,50431
11:41:27.6031422,-0.25,21542,50441
11:41:29.6052245,-0.25,21542,50452
11:41:31.6073222,-0.25,21542,50452
11:41:33.6089167,-0.25,21542,50452
11:41:35.611316,-0.25,21542,50452
11:41:37.6154797,-0.25,21542,50452
11:41:39.6174049,-0.25,21542,50452
11:41:41.619401,-0.25,21542,50452
11:41:43.6220267,-0.25,21542,50473
11:41:45.6236794,-0.25,21542,50473
11:41:47.625332,-0.25,22566,50473
11:41:49.6263019,-0.25,22566,50473
11:41:51.6290357,-0.25,22566,50473
11:41:53.630928,-0.25,22566,50473
11:41:55.6329785,-0.25,22566,50478
11:41:57.6362396,-0.25,22566,50478
11:41:59.6400069,-0.25,22566,50478
11:42:01.6412055,-0.25,22566,50478
11:42:03.6479161,-0.25,22566,50478
11:42:05.6563009,-0.25,22566,50481
11:42:07.6584063,-0.25,22566,50481
11:42:09.6602385,-0.25,22566,50481
11:42:11.6619131,-0.25,22566,50494
11:42:13.6627847,-0.25,22566,50494
11:42:15.6646598,-0.25,22566,50495
11:42:17.6656059,-0.25,23590,50504
11:42:19.6680752,-0.25,23590,50517
11:42:21.6710673,-0.25,23590,50517
11:42:23.6736237,-0.25,23590,50523
11:42:25.6762379,-0.25,23590,50523
11:42:27.6772893,-0.25,23590,50523
11:42:29.6795188,-0.25,23590,50523
11:42:31.6814474,-0.25,23590,50523
11:42:33.6840477,-0.25,23590,50523
11:42:35.6849128,-0.25,23590,50524
11:42:37.6865687,-0.25,23590,50524
11:42:39.6915003,-0.25,23590,50524
11:42:41.6946006,-0.25,23590,50530
11:42:43.6979519,-0.25,23590,50530
11:42:45.6988083,-0.25,23590,50531
11:42:47.6998676,-0.25,24614,50533
11:42:49.7016056,-0.25,24614,50533
11:42:51.7026803,-0.25,24614,50534
11:42:53.7046294,-0.25,24614,50534
11:42:55.7053799,-0.25,24614,50534
11:42:57.7065211,-0.25,24614,50534
11:42:59.7080018,-0.25,24614,50537
11:43:01.7087536,-0.25,24614,50537
11:43:03.7103052,-0.25,24614,50537
11:43:05.7120834,-0.25,24614,50571
11:43:07.714172,-0.25,24614,50573
11:43:09.7162546,-0.25,24614,50579
11:43:11.7181625,-0.25,24614,50584
11:43:13.7222833,-0.25,24614,50595
11:43:15.7238008,-0.25,24614,50604
11:43:17.7249965,-0.25,24614,50610
11:43:19.7270113,-0.25,25638,50615
11:43:21.7291673,-0.25,25638,50615
11:43:23.7301667,-0.25,25638,50615
11:43:25.7334202,-0.25,25638,50615
11:43:27.7357311,-0.25,25638,50615
11:43:29.7371886,-0.25,25638,50623
11:43:31.7389893,-0.25,25638,50623
11:43:33.740569,-0.25,25638,50639
11:43:35.7419201,-0.25,25638,50639
11:43:37.7430923,-0.25,25638,50639
11:43:39.744652,-0.25,25638,50639
11:43:41.7480411,-0.25,25638,50639
11:43:43.7501251,-0.25,25638,50639
11:43:45.754615,-0.25,25638,50639
11:43:47.7572839,-0.25,25638,50639
11:43:49.7589239,-0.25,25638,50639
11:43:51.7619198,-0.25,26662,50641
11:43:53.7632366,-0.25,26662,50641
11:43:55.7661026,-0.25,26662,50641
11:43:57.7698533,-0.25,26662,50649
11:43:59.7706106,-0.25,26662,50654
11:44:01.771878,-0.25,26662,50654
11:44:03.7741988,-0.25,26662,50656
11:44:05.7774308,-0.25,26662,50659
11:44:07.7806364,-0.25,26662,50659
11:44:09.7822453,-0.25,26662,50659
11:44:11.7830211,-0.25,26662,50659
11:44:13.783613,-0.25,26662,50659
11:44:15.7846536,-0.25,26662,50659
11:44:17.7871218,-0.25,26662,50662
11:44:19.7887052,-0.25,26662,50662
11:44:21.790806,-0.25,27686,50663
11:44:23.7940508,-0.25,27686,50663
11:44:25.7954268,-0.25,27686,50663
11:44:27.7969488,-0.25,27686,50663
11:44:29.8004042,-0.25,27686,50666
11:44:31.8027915,-0.25,27686,50666
11:44:33.8040414,-0.25,27686,50666
11:44:35.8052965,-0.25,27686,50666
11:44:37.8069054,-0.25,27686,50666
11:44:39.8108323,-0.25,27686,50666
11:44:41.8151215,-0.25,27686,50666
11:44:43.8176912,-0.25,27686,50667
11:44:45.8188656,-0.25,27686,50668
11:44:47.8203088,-0.25,27686,50668
11:44:49.8229889,-0.25,27686,50668
11:44:51.8255026,-0.25,28710,50671
11:44:53.8264437,-0.25,28710,50671
11:44:55.8276677,-0.25,28710,50671
11:44:57.8293603,-0.25,28710,50673
11:44:59.8306771,-0.25,28710,50679
11:45:01.8341449,-0.25,28710,50683
11:45:03.8378031,-0.25,28710,50683
11:45:05.8392698,-0.25,28710,50686
11:45:07.8413879,-0.25,28710,50691
11:45:09.8430758,-0.25,28710,50697
11:45:11.8438311,-0.25,28710,50698
11:45:13.8464831,-0.25,28710,50711
11:45:15.8479368,-0.25,28710,50713
11:45:17.8527393,-0.25,28710,50713
11:45:19.854803,-0.25,28710,50716
11:45:21.8561714,-0.25,29734,50716
11:45:23.8591717,-0.25,29734,50716
11:45:25.8624444,-0.25,29734,50724
11:45:27.868868,-0.25,29734,50724
11:45:29.9640448,-0.25,29734,50728
11:45:31.9726383,-0.25,29734,50730
11:45:33.9738011,-0.25,29734,50738
11:45:35.9764101,-0.25,29734,50776
11:45:37.9785101,-0.25,29734,50787
11:45:39.9802605,-0.25,29734,50792
11:45:41.9864337,-0.25,29734,50797
11:45:43.9886453,-0.25,29734,50799
11:45:45.9910393,-0.25,29734,50799
11:45:47.9917178,-0.25,29734,50799
11:45:49.995966,-0.25,30758,50799
11:45:51.9970377,-0.25,30758,50799
11:45:53.9994869,-0.25,30758,50799
11:45:56.0030023,-0.25,30758,50799
11:45:58.0370021,-0.25,30758,50799
11:46:00.084001,-0.25,30758,50799
11:46:02.1039949,-0.25,30758,50799
11:46:04.1069995,-0.25,30758,50799
11:46:06.1099985,-0.25,30758,50799
11:46:08.1135822,-0.25,30758,50799
11:46:10.1157652,-0.25,30758,50811
